Access Point,Channel,CCI Neighbor AP,SNR of Neighbor
us-mtv-cl2-04-08,153,us-mtv-cl2-04-10,35
us-mtv-cl2-03-02,153,us-mtv-cl2-03-11,16
us-mtv-cl2-03-01,161,us-mtv-cl2-03-05,23
us-mtv-cl2-01-09,36,us-mtv-cl2-01-06,18
us-mtv-cl2-03-05,161,us-mtv-cl2-03-01,26
us-mtv-cl2-04-01,153,us-mtv-cl2-04-02,32
us-mtv-cl2-04-01,153,us-mtv-cl2-04-03,20
us-mtv-cl2-04-16,140,us-mtv-cl2-04-17,21
us-mtv-cl5-03-05,36,us-mtv-cl5-03-03,27
us-mtv-cl5-03-03,36,us-mtv-cl5-03-05,24
us-mtv-2015-02-12,44,us-mtv-2015-02-16,24
us-mtv-2015-02-12,44,us-mtv-2015-02-27,19
us-mtv-2015-02-12,44,us-mtv-2015-01-07,14
us-mtv-cl2-03-04,157,us-mtv-cl2-03-12,16
us-mtv-cl2-01-06,36,us-mtv-cl2-01-09,18
us-mtv-cl4-02-12,40,us-mtv-cl4-02-09,27
us-mtv-cl2-02-01,40,us-mtv-cl2-02-05,21
us-mtv-cl2-04-02,153,us-mtv-cl2-04-03,24
us-mtv-cl2-04-02,153,us-mtv-cl2-04-11,15
us-mtv-cl2-04-02,153,us-mtv-cl2-04-01,28
us-mtv-cl2-04-03,153,us-mtv-cl2-04-02,25
us-mtv-cl2-04-03,153,us-mtv-cl2-04-01,19
us-mtv-cl2-01-13,40,us-mtv-cl2-02-12,19
us-mtv-cl2-03-11,153,us-mtv-cl2-03-02,19
us-mtv-cl2-02-05,40,us-mtv-cl2-02-01,26
us-mtv-cl2-03-20,108,us-mtv-cl2-04-20,17
us-mtv-2081-01-46,153,us-mtv-2081-01-47,28
us-mtv-cl4-03-12,153,us-mtv-cl4-04-09,14
us-mtv-cl4-02-09,40,us-mtv-cl4-02-12,29
us-mtv-cl4-04-09,153,us-mtv-cl4-03-12,14
us-mtv-cl4-04-01,153,us-mtv-cl4-04-09,14
us-mtv-cl4-04-13,40,us-mtv-cl4-04-15,14
us-mtv-cl4-02-13,52,us-mtv-cl4-02-08,19
us-mtv-2081-01-24,161,us-mtv-2081-01-49,19
us-mtv-2081-01-39,161,us-mtv-2081-01-49,17
us-mtv-2081-01-49,161,us-mtv-2081-01-24,20
us-mtv-2081-01-49,161,us-mtv-2081-01-39,20
us-mtv-2081-01-16,140,us-mtv-2081-01-33,16
us-mtv-2081-01-05,48,us-mtv-2081-01-08,16
us-mtv-2081-01-08,48,us-mtv-2081-01-05,18
us-mtv-2081-01-47,153,us-mtv-2081-01-46,30
us-mtv-2081-01-33,140,us-mtv-2081-01-16,17
us-mtv-2081-01-13,48,us-mtv-2081-01-25,31
us-mtv-2081-01-25,48,us-mtv-2081-01-13,31
us-mtv-cl4-02-08,52,us-mtv-cl4-02-13,18
us-mtv-2011-01-37,149,us-mtv-2011-01-33,27
us-mtv-2011-01-37,149,us-mtv-2011-01-30,38
us-mtv-2011-01-42,149,us-mtv-2011-01-12,20
us-mtv-2011-01-42,149,us-mtv-2011-01-33,19
us-mtv-cl2-04-20,108,us-mtv-cl2-03-20,14
us-mtv-cl2-04-17,140,us-mtv-cl2-04-16,18
us-mtv-cl2-04-11,153,us-mtv-cl2-04-10,32
us-mtv-cl2-04-11,153,us-mtv-cl2-04-02,14
us-mtv-cl2-04-11,153,us-mtv-cl2-04-08,25
